1, 50 Cent, https://en.wikipedia.org/wiki/50_Cent
2, Adele, https://en.wikipedia.org/wiki/Adele
3, Angelina Jolie, https://en.wikipedia.org/wiki/Angelina_Jolie
4, Backstreet Boys, https://en.wikipedia.org/wiki/Backstreet_Boys
5, Ben Affleck, https://en.wikipedia.org/wiki/Ben_Affleck
6, Beyoncé, https://en.wikipedia.org/wiki/Beyoncé
7, Bon Jovi, https://en.wikipedia.org/wiki/Bon_Jovi
8, Brad Pitt, https://en.wikipedia.org/wiki/Brad_Pitt
9, Britney Spears, https://en.wikipedia.org/wiki/Britney_Spears
10, Bruce Springsteen, https://en.wikipedia.org/wiki/Bruce_Springsteen
11, Bruce Willis, https://en.wikipedia.org/wiki/Bruce_Willis
12, Celine Dion, https://en.wikipedia.org/wiki/Celine_Dion
13, Cher, https://en.wikipedia.org/wiki/Cher
14, Coldplay, https://en.wikipedia.org/wiki/Coldplay
15, Cristiano Ronaldo, https://en.wikipedia.org/wiki/Cristiano_Ronaldo
16, Dan Brown, https://en.wikipedia.org/wiki/Dan_Brown
17, David Beckham, https://en.wikipedia.org/wiki/David_Beckham
18, Dr. Dre, https://en.wikipedia.org/wiki/Dr._Dre
19, Dr. Phil McGraw, https://en.wikipedia.org/wiki/Dr._Phil_McGraw
20, Drake, https://en.wikipedia.org/wiki/Drake_(musician)
21, Dwayne Johnson, https://en.wikipedia.org/wiki/Dwayne_Johnson
22, Edie Falco, https://en.wikipedia.org/wiki/Edie_Falco
23, Ed Sheeran, https://en.wikipedia.org/wiki/Ed_Sheeran
24, Ellen DeGeneres, https://en.wikipedia.org/wiki/Ellen_DeGeneres
25, Elton John, https://en.wikipedia.org/wiki/Elton_John
26, Eminem, https://en.wikipedia.org/wiki/Eminem
27, Floyd Mayweather Jr., https://en.wikipedia.org/wiki/Floyd_Mayweather_Jr.
28, Garth Brooks, https://en.wikipedia.org/wiki/Garth_Brooks
29, George Clooney, https://en.wikipedia.org/wiki/George_Clooney
30, George Lucas, https://en.wikipedia.org/wiki/George_Lucas
31, Harrison Ford, https://en.wikipedia.org/wiki/Harrison_Ford
32, Howard Stern, https://en.wikipedia.org/wiki/Howard_Stern
33, J.K. Rowling, https://en.wikipedia.org/wiki/J.K._Rowling
34, James Cameron, https://en.wikipedia.org/wiki/James_Cameron
35, James Gandolfini, https://en.wikipedia.org/wiki/James_Gandolfini
36, James Patterson, https://en.wikipedia.org/wiki/James_Patterson
37, Jay-Z, https://en.wikipedia.org/wiki/Jay-Z
38, Jennifer Aniston, https://en.wikipedia.org/wiki/Jennifer_Aniston
