Source_URL, Trust_Level
https://edition.cnn.com/2021/01/22/tech/loon-project-alphabet-google-intl-hnk/index.html, Highly Trusted
https://www.britannica.com/money/Alphabet-Inc, Highly Trusted
https://www.businessinsider.com/alphabet-google-company-list-2017-4, Moderately Trusted
https://www.investopedia.com/investing/companies-owned-by-google/, Moderately Trusted
https://www.automotivedive.com/news/waymo-5-billion-funding-round-alphabet-robotaxis-autonomous-vehicles/731142/#:~:text=Waymo%2C%20the%20autonomous%20driving%20technology,in%20a%20blog%20post%20Friday., Moderately Trusted
https://www.nasdaq.com/articles/alphabet-acquires-startup-video-streaming-company-anvato-2016-07-08, Highly Trusted
https://theorg.com/iterate/amazon-owned-companies?utm_source=chatgpt.com, Moderately Trusted
https://www.geeksforgeeks.org/list-of-companies-owned-by-amazon/?utm_source=chatgpt.com, Moderately Trusted
https://www.infographicsarchive.com/everything-owned-by-amazon-what-companies-amazon-owns/?utm_source=chatgpt.com, Low Trust
https://www.marketscreener.com/quote/stock/APPLE-INC-4849/company-group/, Moderately Trusted
https://insights.greyb.com/apple-subsidiaries-and-acquisitions/, Moderately Trusted
https://www.bloomberg.com/news/articles/2024-03-14/apple-aapl-buys-canadian-ai-startup-darwinai-as-part-of-race-to-add-features?embedded-checkout=true, Highly Trusted
https://www.imaginationtech.com/news/imagination-and-apple-sign-new-agreement/, Moderately Trusted
https://www.partnerbase.com/exxonmobil, Moderately Trusted
https://2b1stconsulting.com/exxonmobil-and-shell-won-bid-on-black-sea-skifska-gas-field/, Moderately Trusted
https://www.offshore-energy.biz/exxonmobil-omv-petrom-start-pelican-south-1-drilling/, Moderately Trusted
https://investor.exxonmobil.com/sec-filings/all-sec-filings/content/0001193125-12-078102/d257530dex21.htm, Moderately Trusted
https://investor.exxonmobil.com/news-events/press-releases/detail/90/exxonmobil-to-sell-u-k-upstream-central-and-northern-north, Highly Trusted
