0,2,2,2,"","mobil | split from standard oil by the supreme court of the united states in 1911; merged with mobil in 1999 to form present name","john d. rockefeller | standard oil","lee raymond | lucio noto"
2,2,1,0,"texas | spring","irving, texas | spring, texas","irving",""
6,2,1,6,"exxonmobil research and engineering | exxon neftegas | exxonmobil chemical | seariver maritime | exxonmobil refining and supply company | exxonmobil fuels & lubricants company","exxonmobil (united kingdom) | exxonmobil (canada)","aera energy","exxonmobil fuels, lubricants & specialties marketing company | exxonmobil nigeria | exxonmobil united kingdom | forbes travel guide | exxonmobil canada | exxonmobil central europe holding"
4,3,7,0,"pelican south gas field | skifska gas field | val shatsky oil field | arun gas field","2011 yellowstone river oil spill | exxon valdez disaster | 2013 mayflower oil spill","scarborough gas field | esso refinery in botlek | hebron ben nevis oil field | papua new guinea lng | domino gas field | p’nyang gas field | exxonmobil singapore chemical plant",""
2,1,0,3,"corporation | multinational corporation","interoil","","business | gas station chain | enterprise"
3,0,0,0,"oil and gas industry | petroleum industry | energy industry","","",""
0,0,1,0,"","","exxon mobil corporation",""
1,0,0,2,"dark basin","","","alexandros konstantinou | garry d. karner"
5,0,1,3,"speedpass | exxon neftegas | exxonmobil australia | imperial oil | mobil 1","","aera energy","coolanol | forbes travel guide | the vanguard group"
1,5,1,14,"german american petroleum company","exxonmobil (united kingdom) | q125929111 | on the run (convenience store) | exxonmobil (canada) | q130232940","imperial oil","exxonmobil research and engineering | exxon neftegas | exxonmobil fuels, lubricants & specialties marketing company | exxonmobil nigeria | on the run | exxonmobil chemical | exxonmobil refining and supply company | exxonmobil upstream research co | exxonmobil united kingdom | forbes travel guide | exxonmobil fuels & lubricants company | exxonmobil canada | exxonmobil central europe holding | exxonmobil pipeline company"
