4,3,0,0,"without blood | first they killed my father | by the sea | unbroken","by the sea (2015 film) | unbroken (film) | first they killed my father (film)","",""
5,0,2,2,"knox jolie pitt | pax jolie pitt | vivienne jolie pitt | maddox jolie pitt | zahara jolie pitt","","shiloh jolie | jon voight","shiloh jolie pitt | 6"
0,3,0,0,"","knox jolie pitt | shiloh jolie | vivienne jolie pitt","",""
4,0,0,0,"pax jolie pitt | maddox jolie pitt | zahara jolie pitt | james haven","","",""
0,6,0,0,"","2000 | 2003 | 1996 | 2014 | div. | 2019","",""
1,1,1,0,"california","los angeles, california, u.s.","u.s.",""
13,1,0,6,"film producer | character actor | film director | actor | fashion model | executive producer | model | philanthropist | screenwriter | film actor | actress | voice actor | television actor","angelina jolie  personfunction  1","","diarist | film screenwriter | film | writer | charity | manufacturer"
1,1,0,0,"1982","1982 01 01t00:00:00z","",""
5,1,0,0,"jolie | angelina | voight | angelina jolie | angelina jolie pitt","list of awards and nominations received by angelina jolie","",""
1,1,0,1,"1975 06 04","1975 06 04t00:00:00z","","1975"
0,1,0,0,"","","",""
0,0,1,1,"","","united states of america","united states"
