1, Andromeda, https://en.wikipedia.org/wiki/Andromeda_(constellation),Q102897
2, Antlia, https://en.wikipedia.org/wiki/Antlia,Q10481
3, Apus, https://en.wikipedia.org/wiki/Apus,Q10506
4, Aquarius, https://en.wikipedia.org/wiki/Aquarius_(constellation),Q224371
5, Aquila, https://en.wikipedia.org/wiki/Aquila_(constellation),Q211757
6, Ara, https://en.wikipedia.org/wiki/Ara_(constellation),Q4068349
7, Aries, https://en.wikipedia.org/wiki/Aries_(constellation),Q235939
8, Auriga, https://en.wikipedia.org/wiki/Auriga_(constellation),Q10476
9, Boötes, https://en.wikipedia.org/wiki/Boötes,Q8667
10, Caelum, https://en.wikipedia.org/wiki/Caelum,Q10488
11, Camelopardalis, https://en.wikipedia.org/wiki/Camelopardalis,Q8832
12, Cancer, https://en.wikipedia.org/wiki/Cancer_(constellation),Q12078
13, Canes Venatici, https://en.wikipedia.org/wiki/Canes_Venatici,Q10452
14, Canis Major, https://en.wikipedia.org/wiki/Canis_Major,Q10538
15, Canis Minor, https://en.wikipedia.org/wiki/Canis_Minor,Q9305
16, Capricornus, https://en.wikipedia.org/wiki/Capricornus,Q10535
17, Carina, https://en.wikipedia.org/wiki/Carina_(constellation),Q858449
18, Cassiopeia, https://en.wikipedia.org/wiki/Cassiopeia_(constellation),Q223865
19, Centaurus, https://en.wikipedia.org/wiki/Centaurus,Q8844
20, Cepheus, https://en.wikipedia.org/wiki/Cepheus_(constellation),Q9186608
21, Cetus, https://en.wikipedia.org/wiki/Cetus,Q8839
22, Chamaeleon, https://en.wikipedia.org/wiki/Chamaeleon,Q10457
23, Circinus, https://en.wikipedia.org/wiki/Circinus,Q10508
24, Columba, https://en.wikipedia.org/wiki/Columba_(constellation),Q236326
25, Coma Berenices, https://en.wikipedia.org/wiki/Coma_Berenices,Q9285
26, Corona Australis, https://en.wikipedia.org/wiki/Corona_Australis,Q10413
27, Corona Borealis, https://en.wikipedia.org/wiki/Corona_Borealis,Q10406
28, Corvus, https://en.wikipedia.org/wiki/Corvus_(constellation),Q43365
29, Crater, https://en.wikipedia.org/wiki/Crater_(constellation),Q3240715
30, Crux, https://en.wikipedia.org/wiki/Crux,Q10542
31, Cygnus, https://en.wikipedia.org/wiki/Cygnus_(constellation),Q225343
32, Delphinus, https://en.wikipedia.org/wiki/Delphinus,Q9302
33, Dorado, https://en.wikipedia.org/wiki/Dorado,Q8837
34, Draco, https://en.wikipedia.org/wiki/Draco_(constellation),Q293389
35, Equuleus, https://en.wikipedia.org/wiki/Equuleus,Q10438
36, Eridanus, https://en.wikipedia.org/wiki/Eridanus_(constellation),Q235658
37, Fornax, https://en.wikipedia.org/wiki/Fornax,Q8913
38, Gemini, https://en.wikipedia.org/wiki/Gemini_(constellation),Q111082
39, Grus, https://en.wikipedia.org/wiki/Grus_(constellation),Q298853
40, Hercules, https://en.wikipedia.org/wiki/Hercules_(constellation),Q240679
41, Horologium, https://en.wikipedia.org/wiki/Horologium_(constellation),Q1218667
42, Hydra, https://en.wikipedia.org/wiki/Hydra_(constellation),Q538345
43, Hydrus, https://en.wikipedia.org/wiki/Hydrus,Q10416
44, Indus, https://en.wikipedia.org/wiki/Indus_(constellation),Q7348
45, Lacerta, https://en.wikipedia.org/wiki/Lacerta,Q10430
46, Leo, https://en.wikipedia.org/wiki/Leo_(constellation),Q3980423
47, Leo Minor, https://en.wikipedia.org/wiki/Leo_Minor,Q10403
48, Lepus, https://en.wikipedia.org/wiki/Lepus_(constellation),Q46076
49, Libra, https://en.wikipedia.org/wiki/Libra_(constellation),Q224390
50, Lupus, https://en.wikipedia.org/wiki/Lupus_(constellation),Q1485
51, Lynx, https://en.wikipedia.org/wiki/Lynx_(constellation),Q677014
52, Lyra, https://en.wikipedia.org/wiki/Lyra,Q10484
53, Mensa, https://en.wikipedia.org/wiki/Mensa_(constellation),Q81494
54, Microscopium, https://en.wikipedia.org/wiki/Microscopium,Q10492
55, Monoceros, https://en.wikipedia.org/wiki/Monoceros,Q10428
56, Musca, https://en.wikipedia.org/wiki/Musca,Q10435
57, Norma, https://en.wikipedia.org/wiki/Norma_(constellation),Q580926
58, Octans, https://en.wikipedia.org/wiki/Octans,Q10503
59, Ophiuchus, https://en.wikipedia.org/wiki/Ophiuchus,Q8906
60, Orion, https://en.wikipedia.org/wiki/Orion_(constellation),Q104387
61, Pavo, https://en.wikipedia.org/wiki/Pavo_(constellation),Q293589
62, Pegasus, https://en.wikipedia.org/wiki/Pegasus_(constellation),Q162797
