1, Andromeda, https://en.wikipedia.org/wiki/Andromeda_(constellation),Q9256,https://dbpedia.org/page/Andromeda_(constellation),Andromeda_(constellation)
2, Antlia, https://en.wikipedia.org/wiki/Antlia,Q10481,https://dbpedia.org/page/Antlia_(constellation),Antlia
3, Apus, https://en.wikipedia.org/wiki/Apus,Q10506,https://dbpedia.org/page/Apus_(constellation),Apus
4, Aquarius, https://en.wikipedia.org/wiki/Aquarius_(constellation),Q10576,https://dbpedia.org/page/Aquarius_(constellation),Aquarius_(constellation)
5, Aquila, https://en.wikipedia.org/wiki/Aquila_(constellation),Q10586,https://dbpedia.org/page/Aquila_(constellation),Aquila_(constellation)
6, Ara, https://en.wikipedia.org/wiki/Ara_(constellation),Q9253,https://dbpedia.org/page/Ara_(constellation),Ara_(constellation)
7, Aries, https://en.wikipedia.org/wiki/Aries_(constellation),Q10584,https://dbpedia.org/page/Aries_(constellation),Aries_(constellation)
8, Auriga, https://en.wikipedia.org/wiki/Auriga_(constellation),Q10476,https://dbpedia.org/page/Auriga_(constellation),Auriga_(constellation)
9, Boötes, https://en.wikipedia.org/wiki/Boötes,Q8667,https://dbpedia.org/page/Boötes_(constellation),Boötes
10, Caelum, https://en.wikipedia.org/wiki/Caelum,Q10488,https://dbpedia.org/page/Caelum_(constellation),Caelum
11, Camelopardalis, https://en.wikipedia.org/wiki/Camelopardalis,Q8832,https://dbpedia.org/page/Camelopardalis_(constellation),Camelopardalis
12, Cancer, https://en.wikipedia.org/wiki/Cancer_(constellation),Q8849,https://dbpedia.org/page/Cancer_(constellation),Cancer_(constellation)
13, Canes Venatici, https://en.wikipedia.org/wiki/Canes_Venatici,Q10452,https://dbpedia.org/page/Canes_Venatici_(constellation),Canes_Venatici
14, Canis Major, https://en.wikipedia.org/wiki/Canis_Major,Q10538,https://dbpedia.org/page/Canis_Major_(constellation),Canis_Major
15, Canis Minor, https://en.wikipedia.org/wiki/Canis_Minor,Q9305,https://dbpedia.org/page/Canis_Minor_(constellation),Canis_Minor
16, Capricornus, https://en.wikipedia.org/wiki/Capricornus,Q10535,https://dbpedia.org/page/Capricornus_(constellation),Capricornus
17, Carina, https://en.wikipedia.org/wiki/Carina_(constellation),Q10470,https://dbpedia.org/page/Carina_(constellation),Carina_(constellation)
18, Cassiopeia, https://en.wikipedia.org/wiki/Cassiopeia_(constellation),Q10464,https://dbpedia.org/page/Cassiopeia_(constellation),Cassiopeia_(constellation)
19, Centaurus, https://en.wikipedia.org/wiki/Centaurus,Q8844,https://dbpedia.org/page/Centaurus_(constellation),Centaurus
20, Cepheus, https://en.wikipedia.org/wiki/Cepheus_(constellation),Q10468,https://dbpedia.org/page/Cepheus_(constellation),Cepheus_(constellation)
21, Cetus, https://en.wikipedia.org/wiki/Cetus,Q8839,https://dbpedia.org/page/Cetus_(constellation),Cetus
22, Chamaeleon, https://en.wikipedia.org/wiki/Chamaeleon,Q10457,https://dbpedia.org/page/Chamaeleon_(constellation),Chamaeleon
23, Circinus, https://en.wikipedia.org/wiki/Circinus,Q10508,https://dbpedia.org/page/Circinus_(constellation),Circinus
24, Columba, https://en.wikipedia.org/wiki/Columba_(constellation),Q10425,https://dbpedia.org/page/Columba_(constellation),Columba_(constellation)
25, Coma Berenices, https://en.wikipedia.org/wiki/Coma_Berenices,Q9285,https://dbpedia.org/page/Coma_Berenices_(constellation),Coma_Berenices
26, Corona Australis, https://en.wikipedia.org/wiki/Corona_Australis,Q10413,https://dbpedia.org/page/Corona_Australis_(constellation),Corona_Australis
27, Corona Borealis, https://en.wikipedia.org/wiki/Corona_Borealis,Q10406,https://dbpedia.org/page/Corona_Borealis_(constellation),Corona_Borealis
28, Corvus, https://en.wikipedia.org/wiki/Corvus_(constellation),Q10517 ,https://dbpedia.org/page/Corvus_(constellation),Corvus_(constellation)
29, Crater, https://en.wikipedia.org/wiki/Crater_(constellation),Q9282,https://dbpedia.org/page/Crater_(constellation),Crater_(constellation)
30, Crux, https://en.wikipedia.org/wiki/Crux,Q10542,https://dbpedia.org/page/Crux_(constellation),Crux
31, Cygnus, https://en.wikipedia.org/wiki/Cygnus_(constellation),Q8921,https://dbpedia.org/page/Cygnus_(constellation),Cygnus_(constellation)
32, Delphinus, https://en.wikipedia.org/wiki/Delphinus,Q9302,https://dbpedia.org/page/Delphinus_(constellation),Delphinus
33, Dorado, https://en.wikipedia.org/wiki/Dorado,Q8837,https://dbpedia.org/page/Dorado_(constellation),Dorado
34, Draco, https://en.wikipedia.org/wiki/Draco_(constellation),Q8675,https://dbpedia.org/page/Draco_(constellation),Draco_(constellation)
35, Equuleus, https://en.wikipedia.org/wiki/Equuleus,Q10438,https://dbpedia.org/page/Equuleus_(constellation),Equuleus
36, Eridanus, https://en.wikipedia.org/wiki/Eridanus_(constellation),Q10433,https://dbpedia.org/page/Eridanus_(constellation),Eridanus_(constellation)
37, Fornax, https://en.wikipedia.org/wiki/Fornax,Q8913,https://dbpedia.org/page/Fornax_(constellation),Fornax
38, Gemini, https://en.wikipedia.org/wiki/Gemini_(constellation),Q8923,https://dbpedia.org/page/Gemini_(constellation),Gemini_(constellation)
39, Grus, https://en.wikipedia.org/wiki/Grus_(constellation),Q10563,https://dbpedia.org/page/Grus_(constellation),Grus_(constellation)
40, Hercules, https://en.wikipedia.org/wiki/Hercules_(constellation),Q10448,https://dbpedia.org/page/Hercules_(constellation),Hercules_(constellation)
41, Horologium, https://en.wikipedia.org/wiki/Horologium_(constellation),Q10574,https://dbpedia.org/page/Horologium_(constellation),Horologium_(constellation)
42, Hydra, https://en.wikipedia.org/wiki/Hydra_(constellation),Q10578,https://dbpedia.org/page/Hydra_(constellation),Hydra_(constellation)
43, Hydrus, https://en.wikipedia.org/wiki/Hydrus,Q10416,https://dbpedia.org/page/Hydrus_(constellation),Hydrus
44, Indus, https://en.wikipedia.org/wiki/Indus_(constellation),Q10450,https://dbpedia.org/page/Indus_(constellation),Indus_(constellation)
45, Lacerta, https://en.wikipedia.org/wiki/Lacerta,Q10430,https://dbpedia.org/page/Lacerta_(constellation),Lacerta
46, Leo, https://en.wikipedia.org/wiki/Leo_(constellation),Q8853,https://dbpedia.org/page/Leo_(constellation),Leo_(constellation)
47, Leo Minor, https://en.wikipedia.org/wiki/Leo_Minor,Q10403,https://dbpedia.org/page/Leo_Minor_(constellation),Leo_Minor
48, Lepus, https://en.wikipedia.org/wiki/Lepus_(constellation),Q10446,https://dbpedia.org/page/Lepus_(constellation),Lepus_(constellation)
49, Libra, https://en.wikipedia.org/wiki/Libra_(constellation),Q10580,https://dbpedia.org/page/Libra_(constellation),Libra_(constellation)
50, Lupus, https://en.wikipedia.org/wiki/Lupus_(constellation),Q10571,https://dbpedia.org/page/Lupus_(constellation),Lupus_(constellation)
51, Lynx, https://en.wikipedia.org/wiki/Lynx_(constellation),Q10443,https://dbpedia.org/page/Lynx_(constellation),Lynx_(constellation)
52, Lyra, https://en.wikipedia.org/wiki/Lyra,Q10484,https://dbpedia.org/page/Lyra_(constellation),Lyra
53, Mensa, https://en.wikipedia.org/wiki/Mensa_(constellation),Q9289,https://dbpedia.org/page/Mensa_(constellation),Mensa_(constellation)
54, Microscopium, https://en.wikipedia.org/wiki/Microscopium,Q10492,https://dbpedia.org/page/Microscopium_(constellation),Microscopium
