1, Hydrogen, https://en.wikipedia.org/wiki/Hydrogen,Q556
2, Helium, https://en.wikipedia.org/wiki/Helium,Q560
3, Lithium, https://en.wikipedia.org/wiki/Lithium,Q568
4, Beryllium, https://en.wikipedia.org/wiki/Beryllium,Q569
5, Boron, https://en.wikipedia.org/wiki/Boron,Q618
6, Carbon, https://en.wikipedia.org/wiki/Carbon,Q623
7, Nitrogen, https://en.wikipedia.org/wiki/Nitrogen,Q627
8, Oxygen, https://en.wikipedia.org/wiki/Oxygen,Q629
9, Fluorine, https://en.wikipedia.org/wiki/Fluorine,Q650
10, Neon, https://en.wikipedia.org/wiki/Neon,Q654
11, Sodium, https://en.wikipedia.org/wiki/Sodium,Q658
12, Magnesium, https://en.wikipedia.org/wiki/Magnesium,Q660
13, Aluminium, https://en.wikipedia.org/wiki/Aluminium,Q663
14, Silicon, https://en.wikipedia.org/wiki/Silicon,Q670
15, Phosphorus, https://en.wikipedia.org/wiki/Phosphorus,Q674
16, Sulfur, https://en.wikipedia.org/wiki/Sulfur,Q682
17, Chlorine, https://en.wikipedia.org/wiki/Chlorine,Q688
18, Argon, https://en.wikipedia.org/wiki/Argon,Q696
19, Potassium, https://en.wikipedia.org/wiki/Potassium,Q703
20, Calcium, https://en.wikipedia.org/wiki/Calcium,Q706
21, Scandium, https://en.wikipedia.org/wiki/Scandium,Q713
22, Titanium, https://en.wikipedia.org/wiki/Titanium,Q716
23, Vanadium, https://en.wikipedia.org/wiki/Vanadium,Q722
24, Chromium, https://en.wikipedia.org/wiki/Chromium,Q725
25, Manganese, https://en.wikipedia.org/wiki/Manganese,Q731
26, Iron, https://en.wikipedia.org/wiki/Iron,Q677
27, Cobalt, https://en.wikipedia.org/wiki/Cobalt,Q740
28, Nickel, https://en.wikipedia.org/wiki/Nickel,Q744
29, Copper, https://en.wikipedia.org/wiki/Copper,Q753
30, Zinc, https://en.wikipedia.org/wiki/Zinc,Q758
31, Gallium, https://en.wikipedia.org/wiki/Gallium,Q861
32, Germanium, https://en.wikipedia.org/wiki/Germanium,Q867
33, Arsenic, https://en.wikipedia.org/wiki/Arsenic,Q871
34, Selenium, https://en.wikipedia.org/wiki/Selenium,Q876
35, Bromine, https://en.wikipedia.org/wiki/Bromine,Q879
36, Krypton, https://en.wikipedia.org/wiki/Krypton,Q888
37, Rubidium, https://en.wikipedia.org/wiki/Rubidium,Q895
38, Strontium, https://en.wikipedia.org/wiki/Strontium,Q938
39, Yttrium, https://en.wikipedia.org/wiki/Yttrium,Q941
40, Zirconium, https://en.wikipedia.org/wiki/Zirconium,Q1038
41, Niobium, https://en.wikipedia.org/wiki/Niobium,Q1046
42, Molybdenum, https://en.wikipedia.org/wiki/Molybdenum,Q1053
43, Technetium, https://en.wikipedia.org/wiki/Technetium,Q1054
44, Ruthenium, https://en.wikipedia.org/wiki/Ruthenium,Q1086
45, Rhodium, https://en.wikipedia.org/wiki/Rhodium,Q1087
46, Palladium, https://en.wikipedia.org/wiki/Palladium,Q1089
47, Silver, https://en.wikipedia.org/wiki/Silver,Q1090
48, Cadmium, https://en.wikipedia.org/wiki/Cadmium,Q1091
49, Indium, https://en.wikipedia.org/wiki/Indium,Q1094
