1, Hydrogen, https://en.wikipedia.org/wiki/Hydrogen,Q556,https://dbpedia.org/page/Hydrogen
2, Helium, https://en.wikipedia.org/wiki/Helium,Q560,https://dbpedia.org/page/Helium
3, Lithium, https://en.wikipedia.org/wiki/Lithium,Q568,https://dbpedia.org/page/Lithium
4, Beryllium, https://en.wikipedia.org/wiki/Beryllium,Q569,https://dbpedia.org/page/Beryllium
5, Boron, https://en.wikipedia.org/wiki/Boron,Q618,https://dbpedia.org/page/Boron
6, Carbon, https://en.wikipedia.org/wiki/Carbon,Q623,https://dbpedia.org/page/Carbon
7, Nitrogen, https://en.wikipedia.org/wiki/Nitrogen,Q627,https://dbpedia.org/page/Nitrogen
8, Oxygen, https://en.wikipedia.org/wiki/Oxygen,Q629,https://dbpedia.org/page/Oxygen
9, Fluorine, https://en.wikipedia.org/wiki/Fluorine,Q650,https://dbpedia.org/page/Fluorine
10, Neon, https://en.wikipedia.org/wiki/Neon,Q654,https://dbpedia.org/page/Neon
11, Sodium, https://en.wikipedia.org/wiki/Sodium,Q658,https://dbpedia.org/page/Sodium
12, Magnesium, https://en.wikipedia.org/wiki/Magnesium,Q660,https://dbpedia.org/page/Magnesium
13, Aluminium, https://en.wikipedia.org/wiki/Aluminium,Q663,https://dbpedia.org/page/Aluminium
14, Silicon, https://en.wikipedia.org/wiki/Silicon,Q670,https://dbpedia.org/page/Silicon
15, Phosphorus, https://en.wikipedia.org/wiki/Phosphorus,Q674,https://dbpedia.org/page/Phosphorus
16, Sulfur, https://en.wikipedia.org/wiki/Sulfur,Q682,https://dbpedia.org/page/Sulfur
17, Chlorine, https://en.wikipedia.org/wiki/Chlorine,Q688,https://dbpedia.org/page/Chlorine
18, Argon, https://en.wikipedia.org/wiki/Argon,Q696,https://dbpedia.org/page/Argon
19, Potassium, https://en.wikipedia.org/wiki/Potassium,Q703,https://dbpedia.org/page/Potassium
20, Calcium, https://en.wikipedia.org/wiki/Calcium,Q706,https://dbpedia.org/page/Calcium
21, Scandium, https://en.wikipedia.org/wiki/Scandium,Q713,https://dbpedia.org/page/Scandium
22, Titanium, https://en.wikipedia.org/wiki/Titanium,Q716,https://dbpedia.org/page/Titanium
23, Vanadium, https://en.wikipedia.org/wiki/Vanadium,Q722,https://dbpedia.org/page/Vanadium
24, Chromium, https://en.wikipedia.org/wiki/Chromium,Q725,https://dbpedia.org/page/Chromium
25, Manganese, https://en.wikipedia.org/wiki/Manganese,Q731,https://dbpedia.org/page/Manganese
26, Iron, https://en.wikipedia.org/wiki/Iron,Q677,https://dbpedia.org/page/Iron
27, Cobalt, https://en.wikipedia.org/wiki/Cobalt,Q740,https://dbpedia.org/page/Cobalt
28, Nickel, https://en.wikipedia.org/wiki/Nickel,Q744,https://dbpedia.org/page/Nickel
29, Copper, https://en.wikipedia.org/wiki/Copper,Q753,https://dbpedia.org/page/Copper
30, Zinc, https://en.wikipedia.org/wiki/Zinc,Q758,https://dbpedia.org/page/Zinc
31, Gallium, https://en.wikipedia.org/wiki/Gallium,Q861,https://dbpedia.org/page/Gallium
32, Germanium, https://en.wikipedia.org/wiki/Germanium,Q867,https://dbpedia.org/page/Germanium
33, Arsenic, https://en.wikipedia.org/wiki/Arsenic,Q871,https://dbpedia.org/page/Arsenic
34, Selenium, https://en.wikipedia.org/wiki/Selenium,Q876,https://dbpedia.org/page/Selenium
35, Bromine, https://en.wikipedia.org/wiki/Bromine,Q879,https://dbpedia.org/page/Bromine
36, Krypton, https://en.wikipedia.org/wiki/Krypton,Q888,https://dbpedia.org/page/Krypton
