4,3,0,0,"unbroken | first they killed my father | by the sea | without blood","by the sea (2015 film) | unbroken (film) | first they killed my father (film)","",""
6,1,1,1,"shiloh jolie pitt | pax jolie pitt | zahara jolie pitt | maddox jolie pitt | vivienne jolie pitt | knox jolie pitt","shiloh jolie","jon voight","6"
0,3,0,0,"","shiloh jolie | knox jolie pitt | vivienne jolie pitt","",""
4,0,0,0,"james haven | pax jolie pitt | zahara jolie pitt | maddox jolie pitt","","",""
0,6,0,0,"","div. | 2014 | 2003 | 2019 | 1996 | 2000","",""
1,1,1,0,"california","los angeles, california, u.s.","u.s.",""
7,1,0,12,"actor | film director | philanthropist | model | voice actor | film producer | screenwriter","angelina jolie  personfunction  1","","film | charity | manufacturer | writer | diarist | actress | film actor | film screenwriter | fashion model | executive producer | character actor | television actor"
1,1,0,0,"1982","1982 01 01t00:00:00z","",""
5,1,0,0,"angelina jolie | angelina | jolie | voight | angelina jolie pitt","list of awards and nominations received by angelina jolie","",""
0,0,1,2,"","","1975 06 04t00:00:00z","1975 | 1975 06 04"
0,1,0,0,"","","",""
0,0,1,1,"","","united states of america","united states"
