"isPrimaryTopicOf","Tesla",,,""
"primaryTopic","Tesla",,,""
"",,,"Elon Musk","owner of"
"",,,"Tesla Fremont Factory","owner of"
"",,,"Giga Nevada","owner of"
"",,,"Giga Shanghai","owner of"
"",,,"Giga New York","owner of"
"",,,"Gigafactory Texas","owner of"
"",,,"Gigafactory Mexico","owner of"
"",,,"Gigafactory Berlin-Brandenburg","owner of"
"",,,"644030000000","market capitalization"
"",,,"635180000000","market capitalization"
"",,,"666750000000","market capitalization"
"",,,"568110000000","market capitalization"
"",,,"710080000000","market capitalization"
"",,,"751910000000","market capitalization"
"",,,"1240000000000","market capitalization"
"",,,"656350000000","market capitalization"
"",,,"1080000000000","market capitalization"
"",,,"602290000000","market capitalization"
"",,,"885700000000","market capitalization"
"",,,"740960000000","market capitalization"
"",,,"1040000000000","market capitalization"
"",,,"-254411000","net profit"
"",,,"-888663000","net profit"
"",,,"-1961400000","net profit"
"",,,"-74014000","net profit"
"",,,"-976091000","net profit"
"",,,"-674914000","net profit"
"",,,"12556000000","net profit"
"",,,"862000000","net profit"
"",,,"-294040000","net profit"
"",,,"-862000000","net profit"
"",,,"-396213000","net profit"
"",,,"14997000000","net profit"
"",,,"5644000000","net profit"
"",,,"-154328000","net profit"
"",,,"automotive industry","industry"
"",,,"battery industry","industry"
"",,,"solar industry","industry"
"",,,"Ira Ehrenpreis","board member"
"",,,"Joe Gebbia","board member"
"",,,"Hiromichi Mizuno","board member"
"",,,"Elon Musk","board member"
"",,,"James Murdoch","board member"
"",,,"Kathleen Wilson-Thompson","board member"
"",,,"Kimbal Musk","board member"
"",,,"Robyn Denholm","board member"
"",,,"J. B. Straubel","board member"
"",,,"Larry Ellison","board member"
"",,,"Little Raith Battery Storage","operator"
"",,,"Skelmersdale Battery","operator"
"",,,"Q125389176","operator"
"",,,"Thame Road Battery Storage","operator"
"",,,"Tesla Supercharger network","operator"
"",,,"Jamesfield Battery Storage","operator"
"",,,"Tesla Fremont Factory","operator"
"",,,"Clay Tye Battery","operator"
"",,,"Pillswood Battery","operator"
"",,,"Broadditch Battery","operator"
"",,,"Farnham Battery Storage","operator"
"",,,"Chapel Farm Battery Storage","operator"
"",,,"Q125388689","operator"
"",,,"Nasdaq-100","has part(s)"
"",,,"Magnificent Seven stocks","has part(s)"
"",,,"Giga Shanghai","founded by"
"",,,"Gigafactory Mexico","founded by"
"",,,"Gigafactory Texas","founded by"
"",,,"Marc Tarpenning","founded by"
"",,,"Gigafactory Berlin-Brandenburg","founded by"
"",,,"Martin Eberhard","founded by"
"",,,"6813560","social media followers"
"",,,"2570000","social media followers"
"",,,"13351946","social media followers"
"",,,"19262716","social media followers"
"",,,"2330000","social media followers"
"",,,"1980000","social media followers"
"",,,"corporation","instance of"
"",,,"business","instance of"
"",,,"enterprise","instance of"
"",,,"automobile manufacturer","instance of"
"",,,"Q130264293","legal form"
"",,,"-716629000","operating income"
"",,,"6523000000","operating income"
"",,,"-251488000","operating income"
"",,,"13656000000","operating income"
"",,,"-61283000","operating income"
"",,,"-394283000","operating income"
"",,,"-388073000","operating income"
"",,,"-667340000","operating income"
"",,,"8891000000","operating income"
"",,,"-69000000","operating income"
"",,,"-1632086000","operating income"
"",,,"1994000000","operating income"
"",,,"-186689000","operating income"
"",,,"-146838000","operating income"
"",,,"OpenStreetMap database","contributor to the creative work or subject"
"",,,"Palo Alto","location of formation"
"",,,"United States of America","country"
"",,,"Austin","headquarters location"
"",,,"Palo Alto","headquarters location"
"",,,"13558000000","EBITDA"
"",,,"SolarCity","has subsidiary"
"",,,"Tesla Grohmann Automation","has subsidiary"
"",,,"The Conference on Systems and Machine Learning 2019","sponsor"
"",,,"46800","creator"
"",,,"North American Charging Standard","creator"
"",,,"Sentry Mode","creator"
"",,,"London Stock Exchange","stock exchange"
"",,,"Nasdaq","stock exchange"
"",,,"Frankfurt Stock Exchange","stock exchange"
"",,,"Xetra","stock exchange"
"",,,"BigBrotherAwards","award received"
"",,,"Motor Trend Car of the Year","award received"
"",,,"'Verschlossene Auster' award","award received"
"",,,"Ze'ev Drori","chief executive officer"
"",,,"Elon Musk","chief executive officer"
"",,,"Martin Eberhard","chief executive officer"
"",,,"Robyn Denholm","chairperson"
"",,,"Elon Musk","chairperson"
"",,,"Tesla, Inc.","Commons category"
"",,,"LOT Network","member of"
"",,,"Nikola Tesla","named after"
"",,,"Americana Manhasset","occupant"
"",,,"Tesla Network","parent organization"
"",,,"SolarCity","parent organization"
"",,,"Tesla Grohmann Automation","parent organization"
"",,,"Tesla Energy","parent organization"
"",,,"Tesla, Inc.","official name"
"",,,"Tesla Motors, Inc.","official name"
"",,,"Natur-Aktien-Index","part of"
"",,,"S&P 500","part of"
"",,,"Nasdaq-100","part of"
"",,,"Project Titan (SolarCity)","part of"
"",,,"TSLAQ","in opposition to"
"",,,"Tesla and unions","affiliated worker organisation"
"",,,"United States of America","country of origin"
