Id,Source_URL, Trust_Level
1.2, https://www.britannica.com/biography/Adele, Highly Trusted
1.2, https://www.augustman.com/sg/entertainment/culture/adele-dating-history-ex-husband-simon-konecki-fiance-rich-paul/, Highly Trusted
1.2, https://en.wikipedia.org/wiki/Adele, Moderately Trusted
1.2, https://www.musicbusinessworldwide.com/artists/adele/, Highly Trusted
1.3, https://people.com/movies/angelina-jolie-dating-history/, Highly Trusted
1.3, https://globalcitizen.world/how-many-passports-does-angelina-jolie-have/, Moderately Trusted
1.3, https://www.britannica.com/biography/Angelina-Jolie, Highly Trusted
1.3, https://people.com/parents/angelina-jolie-brad-pitt-children/, Highly Trusted
1.5, https://www.imdb.com/name/nm0000255/bio/, Highly Trusted
1.5, https://people.com/ben-affleck-dating-history-7502924, Highly Trusted
1.7, https://www.forbes.com/sites/melindanewman/2015/08/22/bon-jovi-leaves-label-after-32-years-heres-what-jon-co-should-do-next/, Highly Trusted
1.11, https://english-voice-over.fandom.com/wiki/Bruce_Willis, Low Trust
1.11, https://www.imdb.com/name/nm0000246/bio/, Highly Trusted
1.12, https://www.thecanadianencyclopedia.ca/en/article/celine-dion-emc#:~:text=However%2C%20Dion's%20extraordinary%20voice%20and,was%20released%20in%20November%201981., Moderately Trust
1.13, https://people.com/music/cher-dating-history/, Highly Trusted
1.13, https://www.britannica.com/biography/Cher, Highly Trusted
1.14, https://www.britannica.com/topic/Coldplay, Highly Trusted
1.15, https://us.soccerway.com/players/cristiano-ronaldo-dos-santos-aveiro/382/, Low Trust
1.15, https://www.sportingnews.com/us/soccer/news/cristiano-ronaldo-club-career-history/ac8ac0625f278336e7be5b6d, Moderately Trusted
1.15, https://www.britannica.com/biography/Cristiano-Ronaldo, Highly Trusted
1.16, https://danbrown.com, Highly Trusted
1.17, https://people.com/parents/david-beckham-victoria-beckham-kids/, Highly Trusted
1.17, https://www.eurosport.com/football/david-beckham_prs6/person.shtml, Moderately Trusted
1.18, https://www.britannica.com/biography/Dr-Dre, Highly Trusted
1.18, https://www.biography.com/musicians/dr-dre, Highly Trusted
1.18, https://www.imdb.com/name/nm0236564/bio/, Highly Trusted
1.19, https://www.imdb.com/name/nm1114695/, Highly Trusted
1.19, https://people.com/parents/dr-phil-sons/, Highly Trusted
1.20, https://people.com/parents/all-about-drake-son-adonis/, Highly Trusted
1.20, https://www.imdb.com/name/nm1013044/bio/, Highly Trusted
1.20, https://lyrics.lyricfind.com, Moderately Trusted
1.20, https://www.thecanadianencyclopedia.ca/en/article/drake, Moderately Trusted
1.21, https://people.com/who-is-lauren-hashian-dwayne-johnson-wife-8350657, Highly Trusted
1.21, https://www.imdb.com/name/nm0425005/, Highly Trusted
1.21, https://people.com/parents/all-about-dwayne-johnson-children/, Highly Trusted
1.22, https://www.farmersjournal.ie/life/features/meet-ed-sheerans-grandmother-270143#:~:text=Dedicated%20entirely%20to%20the%20love,%2Dborn%20grandmother%2C%20Anne%20Sheeran., Moderately Trusted
1.23, https://www.britannica.com/biography/Edie-Falco, Highly Trusted
1.24, https://www.britannica.com/biography/Ellen-DeGeneres, Highly Trusted
1.24, https://www.imdb.com/name/nm0001122/awards/, Highly Trusted
1.25, https://apnews.com/article/uk-elton-john-aids-hiv-parliament-0fa64025b07e2a2af8a075cc87fc6abc, Highly Trusted
1.25, https://www.hellomagazine.com/celebrities/738906/elton-john-celebrates-son-zacharys-birthday-in-style/, Moderately Trusted
1.26, https://www.britannica.com/biography/Eminem, Highly Trusted
1.27, https://boxrec.com/en/proboxer/352, Moderately Trusted
1.28, https://www.discogs.com/artist/288409-Garth-Brooks?srsltid=AfmBOoqCZIkqfDmXCNLfKbiAOPk04I-XiwTu6XRRxczSo8Pqu_AlfKW8, Moderately Trusted
1.28, https://www.teammatesforkids.com/#:~:text=%2D%20Garth%20Brooks,a%20pledge%20to%20help%20kids., Moderately Trusted
1.29, https://www.imdb.com/name/nm0000123/, Highly Trusted
1.29, https://www.nytimes.com/2010/01/25/arts/television/25arts-HOPEFORHAITI_BRF.html, Highly Trusted
1.29, https://www.imdb.com/name/nm3158751/bio/, Highly Trusted
1.30, https://www.imdb.com/name/nm0000184/, Highly Trusted
1.30, https://people.com/all-about-george-lucas-kids-8401285, Highly Trusted


