1, Andromeda,Q9256, https://en.wikipedia.org/wiki/Andromeda_(constellation),Q9256
2, Antlia,Q10481, https://en.wikipedia.org/wiki/Antlia,Q10481
3, Apus,Q10506, https://en.wikipedia.org/wiki/Apus,Q10506
4, Aquarius,Q10576, https://en.wikipedia.org/wiki/Aquarius_(constellation),Q10576
5, Aquila,Q10586, https://en.wikipedia.org/wiki/Aquila_(constellation),Q10586
6, Ara,Q9253, https://en.wikipedia.org/wiki/Ara_(constellation),Q9253
7, Aries,Q10584, https://en.wikipedia.org/wiki/Aries_(constellation),Q10584
8, Auriga,Q10476, https://en.wikipedia.org/wiki/Auriga_(constellation),Q10476
9, Boötes,Q8667, https://en.wikipedia.org/wiki/Boötes,Q8667
10, Caelum,Q10488, https://en.wikipedia.org/wiki/Caelum,Q10488
11, Camelopardalis,Q8832, https://en.wikipedia.org/wiki/Camelopardalis,Q8832
12, Cancer,Q8849, https://en.wikipedia.org/wiki/Cancer_(constellation),Q8849
13, Canes Venatici,Q10452, https://en.wikipedia.org/wiki/Canes_Venatici,Q10452
14, Canis Major,Q10538, https://en.wikipedia.org/wiki/Canis_Major,Q10538
15, Canis Minor,Q9305, https://en.wikipedia.org/wiki/Canis_Minor,Q9305
16, Capricornus,Q10535, https://en.wikipedia.org/wiki/Capricornus,Q10535
17, Carina,Q10470, https://en.wikipedia.org/wiki/Carina_(constellation),Q10470
18, Cassiopeia,Q10464, https://en.wikipedia.org/wiki/Cassiopeia_(constellation),Q10464
19, Centaurus,Q8844, https://en.wikipedia.org/wiki/Centaurus,Q8844
20, Cepheus,Q10468, https://en.wikipedia.org/wiki/Cepheus_(constellation),Q10468
21, Cetus,Q8839, https://en.wikipedia.org/wiki/Cetus,Q8839
22, Chamaeleon,Q10457, https://en.wikipedia.org/wiki/Chamaeleon,Q10457
23, Circinus,Q10508, https://en.wikipedia.org/wiki/Circinus,Q10508
24, Columba,Q10425, https://en.wikipedia.org/wiki/Columba_(constellation),Q10425
25, Coma Berenices,Q9285, https://en.wikipedia.org/wiki/Coma_Berenices,Q9285
26, Corona Australis,Q10413, https://en.wikipedia.org/wiki/Corona_Australis,Q10413
27, Corona Borealis,Q10406, https://en.wikipedia.org/wiki/Corona_Borealis,Q10406
28, Corvus,Q10517 , https://en.wikipedia.org/wiki/Corvus_(constellation),Q10517
29, Crater,Q9282, https://en.wikipedia.org/wiki/Crater_(constellation),Q9282
30, Crux,Q10542, https://en.wikipedia.org/wiki/Crux,Q10542
31, Cygnus,Q8921, https://en.wikipedia.org/wiki/Cygnus_(constellation),Q8921
32, Delphinus,Q9302, https://en.wikipedia.org/wiki/Delphinus,Q9302
33, Dorado,Q8837, https://en.wikipedia.org/wiki/Dorado,Q8837
34, Draco,Q8675, https://en.wikipedia.org/wiki/Draco_(constellation),Q8675
35, Equuleus,Q10438, https://en.wikipedia.org/wiki/Equuleus,Q10438
36, Eridanus,Q10433, https://en.wikipedia.org/wiki/Eridanus_(constellation),Q10433
37, Fornax,Q8913, https://en.wikipedia.org/wiki/Fornax,Q8913
38, Gemini,Q8923, https://en.wikipedia.org/wiki/Gemini_(constellation),Q8923
39, Grus,Q10563, https://en.wikipedia.org/wiki/Grus_(constellation),Q10563
40, Hercules,Q10448, https://en.wikipedia.org/wiki/Hercules_(constellation),Q10448
41, Horologium,Q10574, https://en.wikipedia.org/wiki/Horologium_(constellation),Q10574
42, Hydra,Q10578, https://en.wikipedia.org/wiki/Hydra_(constellation),Q10578
43, Hydrus,Q10416, https://en.wikipedia.org/wiki/Hydrus,Q10416
44, Indus,Q10450, https://en.wikipedia.org/wiki/Indus_(constellation),Q10450
45, Lacerta,Q10430, https://en.wikipedia.org/wiki/Lacerta,Q10430
46, Leo,Q8853, https://en.wikipedia.org/wiki/Leo_(constellation),Q8853
47, Leo Minor,Q10403, https://en.wikipedia.org/wiki/Leo_Minor,Q10403
48, Lepus,Q10446, https://en.wikipedia.org/wiki/Lepus_(constellation),Q10446
49, Libra,Q10580, https://en.wikipedia.org/wiki/Libra_(constellation),Q10580
50, Lupus,Q10571, https://en.wikipedia.org/wiki/Lupus_(constellation),Q10571
51, Lynx,Q10443, https://en.wikipedia.org/wiki/Lynx_(constellation),Q10443
52, Lyra,Q10484, https://en.wikipedia.org/wiki/Lyra,Q10484
53, Mensa,Q9289, https://en.wikipedia.org/wiki/Mensa_(constellation),Q9289
54, Microscopium,Q10492, https://en.wikipedia.org/wiki/Microscopium,Q10492
55, Monoceros,Q10428, https://en.wikipedia.org/wiki/Monoceros,Q10428
