0,13,1,54,"","macintosh portable computer | macintosh 128k home computer | ipod touch (5th generation) | ipad air (3rd generation) | magsafe (iphone) | apple ii | ipad pro 12.9 inch (2nd generation) | ipad air (3rd generation)  ipad air 3rd generation  1 | macintosh xl home computer | macintosh classic desktop computer | macintosh plus home computer | macintosh 512k | macintosh se/30","apple","translate | isight | powerbook duo 230 | emate 300 | ipad pro 12.9 inch 2nd generation | apple mighty mouse | magic mouse | macintosh se | apple pencil | apple macintosh color display | mini dvi | apple audiovision 14 display | apple extended keyboard | macintosh xl | prores 422 | siri | magsafe | magic trackpad 2 | apple color plus 14″ display | apple tv | facetime | macintosh plus | macintosh se/30 home computer | mini displayport | apple ii series | ipod hi fi | ipod touch 5th generation | swift | finewoven | apple pro display xdr | apple music replay | files | applevision 750 display | ipod classic | macintosh 512ke | macintosh color classic | apple multiple scan 14 display | powerbook 100 series | apple multiple scan 15 display | applecolor composite monitor iie | geneva | itunes trailers | apple iigs | ipod shuffle | opencl | ipad air 3rd generation | apple ii plus | apple performa plus display | playground | itunes ping | apple desktop bus | ipod mini | apple lisa | applecolor high resolution rgb monitor"
0,6,0,0,"","webgpu | matter | siri | ddex | partnership on ai | apple czech","",""
9,2,3,13,"emagic | texture | raycer | schemasoft | anobit | siri inc. | fingerworks | akonia holographics | silicon grail","akonia holographics (united states) | priya balasubramaniam","primesense | inc. | filemaker","filemaker, inc. | apple tv+ | prismo graphics | apple germany | one voice technologies | taligent | apple czech | apple original films | apple sales international | apple data team | the keyboard company | darwinai | apple israel"
17,1,2,1,"drive.ai | authentec | invisage technologies | prismo graphics | apple germany | apple store | apple czech | apple sales international | raycer | apple studios | schemasoft | anobit | siri inc. | weather | apple israel | fingerworks | beddit","weather (apple)","inc. | filemaker","filemaker, inc."
0,2,0,9,"","imran chaudhri | ask different","","randy haykin | imran chaudhri,,deirdre o'brien | deirdre o | john ternus | deirdre o'brien | angela ahrendts | imran chaudhri,,angela ahrendts | paul deneve | dan riccio"
1,0,0,2,"apple university","","","david ungar | athreya buddhavarapu"
3,0,0,7,"software industry | online services | consumer electronics","","","software services | electronics | digital distribution | consumer electronics industry | software development | information technology | mobile phone industry"
3,12,0,3,"technology company | brand | corporation","mactalk australia | apple chancery | macintouch | podium sans | san francisco | new york | chicago | espy sans | menlo | geneva | monaco | skia","","enterprise | computer manufacturer | business"
0,0,0,0,"","","",""
0,1,2,4,"","cupertino, california","california | cupertino","cupertine | los angeles | los altos | united states"
1,5,1,9,"the vanguard group","steve jobs | iad | apple corporate shuttle | ronald wayne | imagination technologies","jana partners","state street corporation | morgan stanley | berkshire hathaway | northern trust | blackrock | t. rowe price | norges bank | geode capital management | fidelity investments"
