1, Apple, https://de.wikipedia.org/wiki/Apple,Q312,https://dbpedia.org/page/Apple_Inc.,Apple_Inc.
2, Microsoft, https://de.wikipedia.org/wiki/Microsoft,Q2283,https://dbpedia.org/page/Microsoft,Microsoft
3, Amazon, https://de.wikipedia.org/wiki/Amazon,Q3884,https://dbpedia.org/page/Amazon_(company),Amazon_(company)
4, Tesla, https://de.wikipedia.org/wiki/Tesla,Q478214,https://dbpedia.org/page/Tesla,Tesla
6, Alphabet Inc., https://de.wikipedia.org/wiki/Alphabet_Inc.,Q20800404,https://dbpedia.org/page/Alphabet_Inc.,Alphabet_Inc.
7, Berkshire Hathaway, https://de.wikipedia.org/wiki/Berkshire_Hathaway,Q217583,https://dbpedia.org/page/Berkshire_Hathaway,Berkshire_Hathaway
8, UnitedHealth, https://de.wikipedia.org/wiki/UnitedHealth,Q2103926,https://dbpedia.org/page/UnitedHealth,UnitedHealth
9, Nvidia, https://de.wikipedia.org/wiki/Nvidia,Q182477,https://dbpedia.org/page/Nvidia,Nvidia
10, Johnson & Johnson, https://de.wikipedia.org/wiki/Johnson_%26_Johnson,Q333718,https://dbpedia.org/page/Johnson_&_Johnson,Johnson_&_Johnson
11, ExxonMobil, https://de.wikipedia.org/wiki/ExxonMobil,Q156238,https://dbpedia.org/page/ExxonMobil,ExxonMobil
12, Meta Platforms, https://de.wikipedia.org/wiki/Meta_Platforms,Q380,https://dbpedia.org/page/Meta_Platforms,Meta_Platforms
13, Procter & Gamble, https://de.wikipedia.org/wiki/Procter_%26_Gamble,Q212405,https://dbpedia.org/page/Procter_&_Gamble,Procter_&_Gamble
14, Visa Inc., https://de.wikipedia.org/wiki/Visa_Inc.,Q328840,https://dbpedia.org/page/Visa_Inc.,Visa_Inc.
15, JPMorgan Chase, https://de.wikipedia.org/wiki/JPMorgan_Chase,Q192314,https://dbpedia.org/page/JPMorgan_Chase,JPMorgan_Chase
16, Chevron Corporation, https://de.wikipedia.org/wiki/Chevron_Corporation,Q319642,https://dbpedia.org/page/Chevron_Corporation,Chevron_Corporation
17, The Home Depot, https://de.wikipedia.org/wiki/The_Home_Depot,Q864407,https://dbpedia.org/page/The_Home_Depot,The_Home_Depot
18, Mastercard, https://de.wikipedia.org/wiki/Mastercard,Q489921,https://dbpedia.org/page/Mastercard,Mastercard
19, Pfizer, https://de.wikipedia.org/wiki/Pfizer,Q206921,https://dbpedia.org/page/Pfizer,Pfizer
20, Eli Lilly and Company, https://de.wikipedia.org/wiki/Eli_Lilly_and_Company,Q632240,https://dbpedia.org/page/Eli_Lilly_and_Company,Eli_Lilly_and_Company
21, The Coca-Cola Company, https://de.wikipedia.org/wiki/The_Coca-Cola_Company,Q3295867,https://dbpedia.org/page/The_Coca-Cola_Company,The_Coca-Cola_Company
22, AbbVie, https://de.wikipedia.org/wiki/AbbVie,Q14662364,https://dbpedia.org/page/AbbVie,AbbVie
23, PepsiCo, https://de.wikipedia.org/wiki/PepsiCo,Q334800,https://dbpedia.org/page/PepsiCo,PepsiCo
